source_pdf,doi,status,n_pages,n_materials,extraction_notes
1-s2.0-S1359645425002769-main.pdf,10.1016/j.actamat.2025.120985,ok,7,8,[text-pass] The paper focuses on pristine AgSbTe2 with Ag2Te nanoprecipitates controlled by quenching and annealing. No extrinsic dopants were added; the study focuses on Ag vacancy concentration and Ag2Te mass percentage. [figure-pass p1-5] The samples are pristine AgSbTe2 processed with different annealing times (A) to control Ag2Te nanoprecipitate content. No extrinsic dopants were added. [figure-pass p6-7] The paper discusses AgSbTe2 compounds with varying Ag vacancy content controlled by an
1-s2.0-S221128552201196X-main.pdf,10.1016/j.nanoen.2022.108118,ok,7,7,"[text-pass] The paper focuses on the effect of cooling rates on pristine AgSbTe2. No extrinsic dopants were added to the samples. Thermoelectric properties were presented in plots (Fig 7 and Fig 8), but explicit numerical values for electrical conductivity, Seebeck coefficient, thermal conductivity, and power factor were not provided in the text or tables, except for the peak ZT value. [figure-pass p1-5] The paper focuses on pristine AgSbTe2 samples processed with different cooling rates (slow c"
1-s2.0-S2352847816300041-main.pdf,10.1016/j.jmat.2016.05.001,ok,7,11,"[text-pass] The paper focuses on SnTe-AgSbSe2 composites. AgSbSe2 is treated as an alloying component rather than a simple dopant, but it is included as requested. Cd is explicitly mentioned as a dopant for SnTe. Values were extracted from the body text as no tables were provided in the source text. [figure-pass p1-5] Data extracted for SnCd0.05Te and SnCd0.05Te-3%AgSbSe2 from figures 3 and 5. Values are visual estimates. [figure-pass p6-7] Data extracted from Figure 7 showing ZT vs Temperature "
1-s2.0-S235284782200096X-main.pdf,10.1016/j.jmat.2022.07.005,ok,9,9,"[text-pass] The article discusses AgxSb2-xTe3-x series. Only Ag0.9Sb1.1Te2.1 is highlighted as phase-pure. Thermoelectric properties for the series are plotted in Fig 6, but specific numerical values for x=1.0, 0.8, and 0.7 were not explicitly listed in the text, only for the Ag0.9Sb1.1Te2.1 sample. [figure-pass p1-5] Data extracted for Ag0.9Sb1.1Te2.1 from Fig. 4a-c. Other samples mentioned in the text (AgSbTe2, Ag0.8Sb1.2Te2.2, Ag0.7Sb1.3Te2.3) did not have temperature-dependent property plots"
1-s2.0-S254252932030122X-main.pdf,10.1016/j.mtphys.2020.100298,ok,7,9,"[text-pass] The paper reports properties for Sn1-2xAgxSbxSe1-2xTe2x (x=0, 0.15, 0.20, 0.25, 0.30). Data extracted for x=0.15 and x=0.25 as representative samples mentioned in the text. Other values are plotted in figures but not explicitly listed in text. [figure-pass p1-5] The paper focuses on SnSe-AgSbTe2 alloys. The samples are identified by x in Sn1-2xAgxSbxSe1-2xTe2x. Doping sites are inferred from the text stating Sn2+ is substituted by Ag1+/Sb3+ and Se2- by Te2-. Property values were extr"
1-s2.0-S2542529325000483-main.pdf,10.1016/j.mtphys.2025.101692,ok,7,3,"[text-pass] The article focuses on the solid solution (AgSbTe2)1-x(Bi2Te3)x and the specific doped composition (AgSb0.98Cd0.02Te2)0.9(Bi2Te3)0.1. While Fig. 3 shows temperature-dependent properties for (AgSb1-yCdyTe2)0.9(Bi2Te3)0.1 (0 ≤ y ≤ 0.035), the specific numerical values for Seebeck, conductivity, etc., are plotted as curves without explicit data tables provided in the text, so only the peak ZT value explicitly mentioned in the text was extracted. [figure-pass p1-5] Data extracted from Fi"
1-s2.0-S2589004226000763-main.pdf,10.1016/j.isci.2026.114701,ok,17,0,"[text-pass] The provided article is a review on self-healing thermoelectric devices and materials. While it mentions AgSbTe2-based thermoelectric materials in reference 14, it does not provide specific doping or thermoelectric property data for AgSbTe2-family compounds in the text or tables. The tables provided in the article focus on self-healing encapsulation materials and general device architectures, not AgSbTe2-family doping data. [figure-pass p1-5] The provided document is a review article"
1-s2.0-S305091492500127X-main.pdf,10.1016/j.tramat.2025.100125,ok,8,10,"[text-pass] The paper states that all four samples (Ag0.9Sb1.1Te2.1, (Ag0.9Sb1.1)0.95Pb0.1Te2.1, (Ag0.9Sb1.1)0.9Pb0.2Te2.1, and (Ag0.9Sb1.1)0.9Pb0.2Te2.0Se0.1) possess similar Seebeck coefficient, electrical conductivity, power factor, and thermal conductivity. The maximum zT of 1.5 at 600 K is explicitly attributed to (Ag0.9Sb1.1)0.9Pb0.2Te2.0Se0.1. [figure-pass p1-5] Data extracted from Fig. 1c. Other samples mentioned in text (Ag0.9Sb1.1Pb0.1Te2.1 and Ag0.9Sb1.1Pb0.2Te2.1) did not have distin"
10.1515_zna-1961-0122.pdf,,ok,2,0,"[text-pass] The provided text discusses the phase diagram and crystallographic properties of the Ag-Sb-Te system, specifically identifying a ternary phase with a rock-salt structure. However, the text does not contain any thermoelectric property data (such as Seebeck coefficient, electrical conductivity, thermal conductivity, power factor, or ZT) or specific doping experiments for AgSbTe2-family compounds. [figure-pass p1-2] The provided pages discuss the phase boundaries and structural properti"
202106_1_online.pdf,10.1063/1.3029774,ok,4,7,"[text-pass] The paper investigates AgSbTe2 and non-stoichiometric variations (Ag0.94Sb1.02Te2, Ag0.88Sb1.04Te2, Ag0.83Sb1.06Te2). These are treated as compositional variations rather than extrinsic doping, so no dopant_or_codopant entries were added. Electrical resistivity values were extracted as reported. [figure-pass p1-4] The paper discusses AgSbTe2 and variations in stoichiometry (Ag-Sb-Te ratios). The samples AST5050, AST4654, and AST4456 are treated as variations of the AgSbTe2 system. Pr"
2305.19217v1.pdf,,ok,31,15,"[text-pass] The samples are nanocomposites of Sb2Te3 and AgSbTe2. The atomic percentage of Ag is denoted by x. The pristine sample is ST (x=0). AST1, AST2, AST3, and AST4 correspond to x=0.9, 1.70, 5.90, and 7.00 respectively. ZT values for AST3 and AST4 are reported at 375 K. [figure-pass p1-5] The provided pages describe a study of Sb2Te3-AgSbTe2 nanocomposite thin films. While the text mentions ZT values and power factor values, there are no property-vs-temperature plots provided in the image"
2603.17846v1.pdf,,ok,28,1,"[text-pass] The article focuses on pressure-induced superconductivity in non-stoichiometric Ag0.9Sb1.1Te2.1. While the paper mentions AgSbTe2 is a thermoelectric material, it does not report thermoelectric property values (Seebeck, electrical conductivity, thermal conductivity, power factor, or ZT) for the specific sample Ag0.9Sb1.1Te2.1; it only reports superconducting transition temperatures (Tc) and upper critical field data. [figure-pass p1-5] The provided document focuses on pressure-induce"
28.pdf,,ok,4,2,"[text-pass] The article discusses undoped AgSbTe2 and AgSbSe2. No doped AgSbTe2 samples were synthesized or measured in this study; the text only mentions potential alloying with GeTe, PbTe, and SnTe as a strategy for future stabilization. [figure-pass p1-4] The provided document contains data for undoped AgSbTe2 and AgSbSe2. No doped AgSbTe2 samples were reported in the text or figures. Thermoelectric properties for undoped AgSbTe2 were extracted from Table 2. "
Adv Funct Materials - 2024 - Kim - Enhancement of Phase Stability and Thermoelectric Performance of Meta‐Stable AgSbTe2 by.pdf,10.1002/adfm.202404886,ok,9,7,[text-pass] The study focuses on thermal cycling of pristine AgSbTe2 rather than chemical doping. The 'initial' and 'Thigh T. C.' (high-temperature thermal cycled) samples are treated as distinct states of the same base material. Electrical conductivity values were derived from reported resistivity values where necessary. [figure-pass p1-5] The paper discusses AgSbTe2 subjected to thermal cycling to manage phase separation. No extrinsic dopants were added; the material is pristine AgSbTe2. Therm
Adv Funct Materials - 2024 - Zhang - Dual Alloying Enables High Thermoelectric Performance in AgSbTe2 by Manipulating.pdf,10.1002/adfm.202400679,ok,11,6,"[figure-pass p1-5] The paper investigates (AgSbTe2)1-x(AgAlSe2)x alloys. Electrical conductivity and Seebeck coefficient data were extracted from body text. ZT values were extracted from body text. Figure 3a and 3b show temperature-dependent electrical conductivity and Seebeck coefficient for various x values, but specific numerical values were not extracted from the plots as they were not explicitly provided in the text for all points. [figure-pass p6-10] The paper investigates (AgSbTe2)1-x(AgA"
Adv Funct Materials - 2025 - Li - Supercompliant Lattice Boosts n‐type AgSbTe2 Thermoelectrics.pdf,10.1002/adfm.202502367,ok,14,7,"[text-pass] The paper reports the first n-type AgSbTe2 compound, Ag0.8Na0.3Sb0.6Bi0.4Te2. Doping levels are described as 10 at.% Na at interstitial sites and 40 at.% Bi at the Sb site. Thermoelectric properties were extracted from the body text. [figure-pass p1-5] The provided pages contain information about the synthesis and structural characterization of AgSbTe2-based compounds, specifically Ag0.8Na0.3Sb0.6Bi0.4Te2. While some ZT values are mentioned in the text, there are no plots showing See"
Adv Funct Materials - 2026 - Abdellaoui - Stacking Fault Complexions in AgSbTe2 Thermoelectrics With Enhanced Electrical.pdf,10.1002/adfm.77083,ok,10,2,"[text-pass] The paper reports on AgSbTe2 with stacking faults (SFs) acting as complexions. The composition Ag16.7Sb30Te53.3 is the nominal synthesis composition. Electrical conductivity values are reported for grain interiors and across LAGBs (containing SFs) at room temperature. [figure-pass p1-5] The provided document discusses the atomic structure, chemical composition, and phonon scattering mechanisms of stacking faults in AgSbTe2. While it mentions thermoelectric properties in the introduct"
Adv Funct Materials - 2026 - Zhang - Improving Stability of High‐Performance AgSbTe2 Thermoelectrics by Lattice Regulation.pdf,10.1002/adfm.75160,ok,12,11,"[text-pass] The article focuses on AgSb1-xPbxTe2. While multiple compositions (0 <= x <= 0.08) are mentioned, specific numerical data for properties other than the peak ZT of the x=0.03 sample were not provided in the text or tables. [figure-pass p1-5] The provided pages contain plots for Hall carrier concentration (Fig 4a) and Hall mobility (Fig 4b) as a function of temperature, but do not contain plots for Seebeck coefficient, electrical conductivity, thermal conductivity, power factor, or ZT "
Advanced Energy Materials - 2011 - Chen - SnTe AgSbTe2 Thermoelectric Alloys.pdf,10.1002/aenm.201100460,ok,5,2,"[text-pass] The paper reports on (Ag0.366Sb0.558Te)1-x(SnTe)x solid solutions. While temperature-dependent plots (Fig 1 and Fig 3) are provided, they are graphical representations without explicit numerical values for specific data points in the text, except for the peak ZT values mentioned in the body text. [figure-pass p1-5] The paper investigates (Ag0.366Sb0.558Te)1-x(SnTe)x solid solutions. Thermoelectric properties (Seebeck, resistivity, power factor, thermal conductivity, ZT) are plotted a"
Advanced Energy Materials - 2011 - Han - Lead‐Free Thermoelectrics  High Figure of Merit in p‐type AgSnmSbTem 2.pdf,10.1002/aenm.201100613,ok,5,8,"[figure-pass p1-5] The AgSnmSbTem+2 series is treated as a solid solution of SnTe and AgSbTe2. Doping sites are not explicitly defined as substitution on specific sublattices in the text, but rather as a mixture of SnTe and AgSbTe2. Thermoelectric properties were visually estimated from the provided figures. "
Advanced Energy Materials - 2017 - Hong - Achieving zT   2 in p‐Type AgSbTe2 xSex Alloys via Exploring the Extra Light.pdf,10.1002/aenm.201702333,ok,7,9,"[text-pass] The article focuses on AgSbTe2-xSex alloys. Data points were extracted from the body text. Figure 1a and Figure 2 provide trends, but specific numerical values were primarily sourced from the text descriptions of those figures. [figure-pass p1-5] Data extracted from Figure 1a for ZT vs T. Other properties (S, sigma, kappa) were plotted but ZT was the primary focus for the requested extraction. [figure-pass p6-7] The provided pages contain TEM images, experimental methodology descript"
Advanced Energy Materials - 2026 - Li - Rare‐Earth Yttrium Doping Advances High‐Performance AgSbTe2 Thermoelectrics.pdf,10.1002/aenm.202505258,ok,11,12,"[text-pass] Doping levels (x) are given as atomic fractions in the formula AgSb1-xYxTe2. The site is assumed to be Sb based on the formula notation. Thermoelectric properties were extracted from the body text. [figure-pass p1-5] The provided pages contain text describing the synthesis and characterization of Y-doped AgSbTe2, but do not contain the actual property-vs-temperature plots (e.g., Figure 4a, 4b, 4c, 4d are referenced in the text but the corresponding plots are not included in the provi"
Advanced Materials - 2006 - Androulakis - Nanostructuring and High Thermoelectric Efficiency in p‐Type Ag Pb1   ySny mSbTe2.pdf,10.1002/adma.200502770,ok,4,7,[text-pass] The Ag(Pb1-ySny)mSbTe2+m series is described as a bulk nanocomposite. Doping sites are inferred based on the formula structure where Pb/Sn/Sb are substituted into the AgSbTe2 parent lattice. Specific property values were extracted from the text and Figure 1d/3a. [figure-pass p1-4] Data extracted from figures 1 and 3. Only representative samples with clear data points were included. 
Advanced Materials - 2022 - Zhang - Defect‐Engineering‐Stabilized AgSbTe2 with High Thermoelectric Performance.pdf,10.1002/adma.202208994,ok,9,10,[text-pass] The article reports AgSbTe2-family compounds doped with Se and S. The specific composition AgSbTe1.85Se0.1S0.05 is highlighted as the optimized material. Other compositions like AgSbTe1.85Se0.15 and AgSbTe1.82Se0.12S0.06 are mentioned in figures or calculations but the primary experimental data is focused on the co-doped sample. [figure-pass p1-5] Data extracted from Figure 1A for ZT values at 673 K. Doping sites identified as Te based on text description of Se and S substitution on 
Advanced Materials - 2023 - Taneja - High Thermoelectric Performance in Phonon‐Glass Electron‐Crystal Like AgSbTe2.pdf,10.1002/adma.202307058,ok,11,10,"[text-pass] The paper reports AgSb1-xYbxTe2 samples with x = 0, 0.02, 0.04, and 0.06. Doping is identified as Yb3+ substituting at the Sb3+ site. Thermoelectric properties were extracted from the body text. [figure-pass p1-5] Data extracted from Figure 1b and 1d. Doping site for Yb is specified as Sb site in the text. [figure-pass p6-10] Data extracted from Figures 3, 4, and 5 and accompanying text. Electrical conductivity and Seebeck coefficient values from Fig 5a and 5b are visual estimates. ["
Advanced Materials - 2024 - Li - High‐Performance AgSbTe2 Thermoelectrics  Advances  Challenges  and Perspectives.pdf,10.1002/adma.202409275,ok,23,6,"[text-pass] Data extracted from Table 1 of the provided article. Only a subset of samples from the table were included as examples. The table contains many more entries for AgSbTe2-family compounds. [figure-pass p1-5] The provided pages contain a summary table (Table 1) of thermoelectric properties for various AgSbTe2-based materials, but no plots showing Seebeck coefficient, electrical conductivity, thermal conductivity, lattice thermal conductivity, power factor, or ZT as a function of tempera"
Advanced Materials - 2026 - Maria - Chemical Bonding and Crystal Structure Design for Low Thermal Conductivity in Inorganic.pdf,10.1002/adma.74614,ok,53,0,"[text-pass] The provided article is a review paper on thermal conductivity in inorganic solids. While it mentions AgSbTe2 and related compounds (e.g., AgSnSbTe3, AgGeSnSbTe4, AgGaTe2) in the context of bonding and structural design principles, it does not provide specific experimental thermoelectric property data (Seebeck coefficient, electrical conductivity, etc.) for these materials in the form of tables or explicit values. The text discusses general trends and cites other works for data, but "
Advanced Science - 2022 - Tee - Thermoelectric Silver‐Based Chalcogenides.pdf,10.1002/advs.202204624,ok,35,8,[text-pass] Data extracted from Table 1 of the provided article. Only AgSbTe2-family compounds with explicit doping/alloying and thermoelectric properties were included. [figure-pass p1-5] Data extracted from Table 1. Only AgSbTe2-family compounds with explicit doping/alloying were included. Other entries in the table were excluded if they did not fit the AgSbTe2-family criteria. [figure-pass p6-10] The provided pages discuss AgSbTe2-family compounds in the context of general thermoelectric mate
Angew Chem Int Ed - 2026 - Han - Lead‐Doping Enabled Band Engineering and Phonon Transport Modulation  Key to.pdf,10.1002/anie.2554196,ok,11,8,"[figure-pass p1-5] Data extracted from body text and Figure 3. Figure 3 plots show temperature dependence for x=0, 0.02, 0.04, 0.06 samples. Values for x=0.04 and x=0 are explicitly mentioned in the text. [figure-pass p11-11] The provided page contains only a 'Supporting Information' header and a list of supplementary materials. No thermoelectric property data or plots are present on this page. "
Annalen der Physik - 2020 - Liu - Evaluation of Thermoelectric Properties of Ag0 366Sb0 558Te.pdf,10.1002/andp.201900561,ok,7,5,"[text-pass] The article focuses on Ag0.366Sb0.558Te and its Sn-doped variants. Specific thermoelectric property values (Seebeck, electrical conductivity, etc.) are provided in figures (Fig 5, Fig 6, Fig 7) but the exact numerical data points for each temperature were not provided in a table format, so only the peak ZT and lattice thermal conductivity values explicitly mentioned in the text were extracted. [figure-pass p1-5] Data extracted from Fig 5 and 6. Note that Fig 5b plots resistivity (rho"
Band convergence and nanostructure modulations lead to high thermoelectric performance in SnPb0.04Te-y_ AgSbTe2.pdf,10.1016/j.mtphys.2021.100505,ok,7,12,"[text-pass] The paper reports a series of SnPb0.04Te-y%AgSbTe2 samples. Data for y=12% and y=25% were extracted as representative samples. Note: The Seebeck coefficient units in the text are reported as mV K-1, which appears to be a typo in the source text (likely should be µV K-1), but the values were extracted exactly as written. [figure-pass p1-5] Data extracted from body text and figures. Property values for y=0 to 25 are plotted in Fig 3 and Fig 5. [figure-pass p6-7] Data extracted from Fig"
Band convergence strategy to improve thermoelectric performance in Ti-Doped AgSbTe2.pdf,10.1088/1402-4896/ad3c74,ok,9,8,"[text-pass] The paper reports properties for Ag1.05Sb1-xTixTe2 (x = 0, 0.005, 0.01, 0.02, 0.03). Specific numerical values for properties were extracted from the body text where explicitly stated. Other values were presented in plots (Figure 4 and 6) without explicit numerical tables, so only text-referenced values were included. [figure-pass p1-5] The provided pages contain information about the synthesis and characterization (XRD, SEM, HRTEM) of Ti-doped Ag1.05Sb1-xTixTe2 samples, but they do "
"Carrier optimization and reduced thermal conductivity leading to enhanced thermoelectric performance in (Mg, S) co-doped AgSbTe2.pdf",10.1016/j.mtphys.2024.101358,ok,10,8,"[text-pass] Data extracted from the body text of the article. The paper reports multiple compositions (x=0.02, 0.03, 0.04; y=0.05, 0.1, 0.15), but specific numerical values for properties are primarily provided for the optimized AgSb0.97Mg0.03Te2 and AgSb0.97Mg0.03Te1.90S0.10 samples. [figure-pass p1-5] The paper discusses Mg and S co-doped AgSbTe2. Thermoelectric properties were extracted from the body text and Fig. 4. Fig. 4(a-c) shows temperature-dependent data for various compositions (x=0-0"
Carrier scattering mechanism change in Se and S co-doped AgSbTe2 thermoelectric materials.pdf,10.1007/s43207-026-00585-7,ok,12,11,"[text-pass] The article focuses on re-analyzing experimental data from Zhang et al. (2022) using the SPB model. Specific thermoelectric property values (other than the ZT of 2.3 at 673 K) are presented as trends in plots (Figs 2-6) rather than discrete numerical tables, so they were not extracted as individual data points per the instructions. [figure-pass p1-5] The provided pages contain plots of Hall mobility vs temperature (Fig 1) and Seebeck coefficient vs carrier concentration (Fig 2a), but"
Charge Compensation Modulation of the Thermoelectric Properties in AgSbTe2 via Mn Amphoteric Doping.pdf,10.1021/acs.inorgchem.9b00852,ok,8,9,"[text-pass] The paper discusses Mn doping on Ag and Sb sites in AgSbTe2. MnSb is identified as a positive dopant (acceptor) and MnAg as a negative dopant (donor). Amphoteric doping refers to the simultaneous substitution of both sites. [figure-pass p6-8] The provided pages contain text discussing thermoelectric properties of Mn-doped AgSbTe2 and references to figures (Fig 4a, 4b, 4c, 4d), but the actual plots/graphs are not included in the provided image files. Therefore, no numerical data could"
ChemNanoMat - 2022 - Cui - Advances and Challenges of AgSbSe2‐based Thermoelectric Materials.pdf,10.1002/cnma.202200301,ok,8,0,"[text-pass] The provided article is a review paper focused on AgSbSe2-based thermoelectric materials. While it mentions AgSbTe2 as a reference compound and cites specific high-performance values for AgSbTe2-based alloys (e.g., ZT of 1.53 at 720 K for TAGS, ZT of 2.2 at 800 K for LAST, and ZT of 2.6 at 573 K for Cd-doped AgSbTe2), it does not provide the detailed, sample-specific doping and thermoelectric property data tables required for extraction. The article serves as a review and does not co"
Chen_2012_J._Phys._D__Appl._Phys._45_115302.pdf,10.1088/0022-3727/45/11/115302,ok,6,8,"[text-pass] The article presents thermoelectric properties for (Ag0.366Sb0.558Te)1-x(GeTe)x solid solutions with x = 0, 0.02, 0.04, 0.06, and 0.08. All thermoelectric property data (Seebeck coefficient, electrical conductivity, power factor, thermal conductivity, and ZT) are provided as temperature-dependent plots (Figs 3, 4, and 5) rather than discrete numerical values in tables. The doped site for GeTe is not explicitly specified, so it is marked as unclear. [figure-pass p1-5] Data extracted f"
"Contrasting roles of small-radius metals (Cu, Zn, Ni) in enhancing the thermoelectric properties of AgSbTe2.pdf",10.1016/j.jallcom.2026.189224,ok,8,9,[figure-pass p6-8] The provided pages do not contain any plots of thermoelectric properties vs temperature. The ZT value for AgSb0.97Cu0.03Te2 was extracted from the text in the conclusion section. 
Drymiotis_2011_J._Phys.__Condens._Matter_23_135305.pdf,10.1088/0953-8984/23/13/135305,ok,8,4,"[text-pass] The paper discusses Cu0.2Ag2.8SbSeTe2 as a two-phase alloy (Ag2Te and AgSbTe2). Electrical resistivity values were reported in mΩ cm; these were extracted as electrical conductivity properties per the schema requirements. [figure-pass p1-5] The provided pages contain information about the synthesis and characterization of Cu0.2Ag2.8SbSeTe2, but do not contain any plots of thermoelectric properties (Seebeck coefficient, electrical conductivity, thermal conductivity, power factor, or Z"
Du_2018_Chinese_Phys._B_27_048102.pdf,10.1088/1674-1056/27/4/048102,ok,12,3,"[text-pass] The article discusses AgSbTe2-family compounds primarily as components in solid solutions with GeTe (TAGS) or as AgSbSe2 alloys. Specific thermoelectric data points were extracted for the (GeTe)80(AgSbSe2)20 composition mentioned in the text. [figure-pass p1-5] The provided pages discuss Sn-based, Ge-based, and Si-based chalcogenides (SnSe, SnS, SnTe, GeSe, GeS, etc.). While AgSbTe2 is mentioned as a family in the prompt, the provided text and figures do not contain any thermoelectri"
Effect of Ce Substitution for Sb on the Thermoelectric Properties of AgSbTe2 Compound.pdf,10.1007/s11664-014-3076-7,ok,6,11,"[text-pass] The paper reports Ce-doped AgSbTe2.01 compounds. Lattice thermal conductivity for Ce-doped samples is reported as 0.30 to 0.55 W m-1 K-1. Seebeck coefficient for Ce-doped samples is reported as 220 to 270 uV K-1. [figure-pass p1-5] Data extracted from figures 4, 5, and 6. Values are visual estimates from the plots. [figure-pass p6-6] The provided page contains text describing thermoelectric properties of AgSbTe2-family compounds, specifically Ce-doped AgSbTe2.01. No plots were provid"
Effect of La-doping on AgSbTe2 thermoelectric compounds.pdf,10.3938/jkps.68.164,ok,6,10,"[text-pass] Dopant site is assumed to be Sb based on the formula Ag(Sb1-xLax)Te2. All samples were fabricated as Ag(Sb1-xLax)Te2. [figure-pass p1-5] The paper investigates La-doped AgSbTe2. While figures 3, 4, 5, and 7 provide temperature-dependent data for all samples, the values are visually estimated from the plots. Specific peak ZT values were extracted from the text. [figure-pass p6-6] The provided page contains only a list of references and no thermoelectric property data or plots for AgSb"
Effects_of_nano-domains_on_thermoelectric_properties_in_telluride_system.pdf,10.1109/NMDC.2011.6155313,ok,4,2,"[text-pass] The paper discusses AgSbTe2 and Ag-doped Bi0.5Sb1.5Te3. Only AgSbTe2 data was extracted as requested for the AgSbTe2-family. The Bi-Sb-Te samples were excluded as they are not AgSbTe2-family compounds. No explicit doping ratio was provided for the AgSbTe2 sample in the text, it is treated as the base compound. [figure-pass p1-4] The paper focuses on AgSbTe2 and Ag-doped Bi0.5Sb1.5Te3. Only AgSbTe2 data was extracted as it is the only AgSbTe2-family compound reported with thermoelectr"
Electron transport properties of La-doped AgSbTe2 thermoelectric compounds.pdf,10.1007/s13391-011-0914-0,ok,6,10,[figure-pass p1-5] The paper provides Seebeck coefficient and electrical resistivity data in Table 2 at room temperature and in Figures 4 and 5 as a function of temperature. Power factor is shown in Figure 6. Values for Seebeck coefficient at 150C for x=0.02 are mentioned in the text. [figure-pass p6-6] The provided page contains only a list of references and no thermoelectric property data or plots for AgSbTe2-family compounds. 
